date,region,wind
2007-01-21 00:00:00,-,modere 
2007-01-22 00:00:00,-,faible 
2007-01-24 00:00:00,nord,modere 
2007-01-25 00:00:00,sud,faible 
,nord,fort 
2007-01-26 00:00:00,-,faible 
2007-01-27 00:00:00,-,fort 
2007-01-28 00:00:00,nord,modere 
2007-01-30 00:00:00,nord,fort 
2007-01-31 00:00:00,-,faible 
2007-02-01 00:00:00,-,modere 
2007-02-02 00:00:00,-,modere 
2007-02-03 00:00:00,nord,modere 
2007-02-04 00:00:00,est,modere 
2007-02-05 00:00:00,-,modere 
2007-02-06 00:00:00,ouest,modere 
2007-02-07 00:00:00,ouest,modere 
2007-02-09 00:00:00,-,faible 
2007-02-10 00:00:00,-,faible 
2007-02-11 00:00:00,sud,fort 
,ouest,modere 
2007-02-14 00:00:00,nord,modere 
,sud,fort 
2007-02-19 00:00:00,nord,modere 
2007-02-20 00:00:00,-,faible 
2007-02-21 00:00:00,-,faible 
2007-02-22 00:00:00,-,faible 
2007-02-23 00:00:00,-,faible 
2007-02-25 00:00:00,ouest,modere 
2007-02-27 00:00:00,ouest,modere 
,nord,fort 
2007-02-28 00:00:00,ouest,fort 
2007-03-01 00:00:00,sud,fort 
2007-03-02 00:00:00,-,modere 
2007-03-03 00:00:00,nord,fort 
,sud,modere 
2007-03-04 00:00:00,sud,modere 
2007-03-05 00:00:00,sud,modere 
2007-03-06 00:00:00,nord,fort 
,sud,modere 
2007-03-07 00:00:00,sud,modere 
2007-03-08 00:00:00,nord,modere 
2007-03-09 00:00:00,-,faible 
2007-03-10 00:00:00,nord,fort 
2007-03-18 00:00:00,ouest,modere 
2007-03-19 00:00:00,-,faible 
2007-03-20 00:00:00,nord,fort 
2007-03-21 00:00:00,nord,modere 
2007-03-22 00:00:00,nord,modere 
2007-03-23 00:00:00,ouest,modere 
2007-03-24 00:00:00,est,faible 
2007-03-25 00:00:00,sud,fort 
2007-03-26 00:00:00,sud,fort 
2007-03-28 00:00:00,-,faible 
2007-03-29 00:00:00,-,faible 
2007-03-31 00:00:00,sud,modere 
2007-04-01 00:00:00,sud,modere 
2007-04-02 00:00:00,sud,modere 
2007-04-03 00:00:00,-,faible 
